pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Evaluation of a panel of plasma biomarkers for Alzheimer’s disease in a diverse research cohort	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12643100/	XML	UM-MAP	university of michigan memory and aging project	The University of Michigan Memory and Aging Project (UM-MAP) is a prospective observational, longitudinal study enrolling older adults across the cognitive spectrum, particularly from the racially diverse metro Detroit area. Among 331 UM-MAP participants, plasma biomarkers (pTau-217, pTau-181, GFAP, NfL, Aβ42, Aβ40, t-Tau) were measured. Participants underwent annual visits including neurological exam, history and symptom survey, blood draw, and neuropsychological testing. Clinical consensus phenotypes (cognitively unimpaired, mild cognitive impairment, dementia of the Alzheimer Type) were based on neuropsychological assessments. The cohort is part of the National Institute on Aging-funded P30 Michigan Alzheimer's Disease Research Center (MADRC).	Alzheimer's disease, plasma biomarkers, cognitive assessment, diverse cohort	Primary		
Trajectories of psychological and social well-being preceding death	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12599000/	XML		www.radc.rush.edu	MAP is an ongoing longitudinal clinical-pathologic cohort study initiated in 1997, involving older adults recruited from continuous care retirement communities, senior and subsidised housing, church groups and social service agencies in Chicago and north-eastern Illinois. At enrolment and annual follow-up visits, participants underwent comprehensive assessments, including a clinical examination, a cognitive test battery and completion of questionnaires on psychological and social well-being. The study followed 1971 older adults for up to 22 years with annual measurements of depression symptoms, loneliness, purpose in life, cognitive activity, social activity, and social network size. Survival status was monitored throughout the follow-up period with accurate death information for almost all study participants. During the follow-up, 1119 (56.77%) participants died.	longitudinal cohort, psychological well-being, older adults, mortality	Secondary		
Gene module-trait network analysis uncovers cell type specific systems and genes relevant to Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12584222/	XML	syn31512863	synapse.org	Single-nucleus RNA sequencing (snRNASeq) data generated from dorsolateral prefrontal cortex (DLPFC) tissues of 424 participants in the Religious Orders Study or the Rush Memory and Aging Project (ROSMAP). The processed and annotated snRNASeq data was used to create participant-level normalized pseudo-bulk matrices for each cell type group annotated for the DLPFC. The dataset covers 1.6 million cells across 7 major cell-type groups and 96 cell subpopulations.	single-nucleus RNA sequencing, brain transcriptomics, Alzheimer's disease	Primary	https://www.synapse.org/[#!]*Synapse:syn31512863	Complex download or application to access
Gene module-trait network analysis uncovers cell type specific systems and genes relevant to Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12584222/	XML	syn3388564	synapse.org	ROSMAP bulk DLPFC RNA sequencing data from 1,210 participants. The bulk RNASeq data was used for comparison with single-nucleus coexpression modules to highlight biological signals that are lost at the bulk level, particularly in less prevalent cell types or specific cell subpopulations. RNA was extracted from the DLPFC, and libraries were sequenced on an Illumina NovaSeq 6000 at 40 to 50 million reads, 150 bp paired-end.	bulk RNA sequencing, dorsolateral prefrontal cortex, aging brain	Primary	https://www.synapse.org/[#!]*Synapse:syn3388564	Complex download or application to access
Gene module-trait network analysis uncovers cell type specific systems and genes relevant to Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12584222/	XML	syn52363764	synapse.org	Single-nucleus cell type annotations and subpopulation markers from ROSMAP snRNASeq data. A total of 96 subpopulations of cells were annotated based on marker genes. This dataset was used to compare module genes with differentially expressed gene (DEG) markers for cell subpopulation clusters identified in the study.	cell type annotation, subpopulation markers, single-nucleus data	Primary	https://www.synapse.org/[#!]*Synapse:syn52363764	Complex download or application to access
Gene module-trait network analysis uncovers cell type specific systems and genes relevant to Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12584222/	XML	syn53694215	synapse.org	Differentially expressed genes (DEGs) derived from slightly different cell annotations using the same ROSMAP snRNASeq dataset. This dataset was used for comparison of coexpression modules and subpopulation marker genes to assess overlap between modules and cell subpopulations.	differential gene expression, cell subpopulations, transcriptomics	Primary	https://www.synapse.org/[#!]*Synapse:syn53694215	Complex download or application to access
Gene module-trait network analysis uncovers cell type specific systems and genes relevant to Alzheimer's Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12584222/	XML	syn52293417	synapse.org	External single-nucleus RNASeq data from a partially overlapping set of ROSMAP participants (190 independent individuals) used for replication analysis. Count matrices and cell annotations were downloaded and used to validate AD-trait association findings from the main study by projecting the 193 coexpression modules into the external dataset.	single-nucleus RNA sequencing, replication cohort, Alzheimer's disease	Secondary	https://www.synapse.org/[#!]*Synapse:syn52293417	Complex download or application to access
Integrative brain omics approach highlights sn-1 lysophosphatidylethanolamine in Alzheimer’s dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12578986/	XML	ROSMAP	synapse.org	Brain tissues were from the dorsolateral prefrontal cortex (DLPFC) from 316 subjects in the ROSMAP cohort studies of aging and dementia. Non-targeted lipidomics analysis was performed on 316 post-mortem brains from participants classified as control (92), asymptomatic AD (77), or symptomatic AD (147). The study integrated lipidomics data with untargeted proteomics from the same individuals. All participants enrolled without known dementia and agreed to annual clinical evaluation and brain donation.	Alzheimer's disease, brain lipidomics, post-mortem tissue	Secondary	https://www.synapse.org/Synapse:syn26452612	Complex download or application to access
Integrative brain omics approach highlights sn-1 lysophosphatidylethanolamine in Alzheimer’s dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12578986/	XML		www.metabolomicsworkbench.org	Non-targeted UPLC-MS/MS assay was applied to obtain a broad coverage of the brain lipidome through the combination of high-resolution accurate-mass and ddMS2 data acquisition on 316 post-mortem DLPFC samples. The raw data were processed, and all mass spectra were manually investigated through LipidSearch, yielding a total of 2200 annotated lipids. A total of 343 lipid species across 15 lipid classes met the data filtering criteria and were used for batch correction by SERRF.	lipidomics, mass spectrometry, brain lipids	Primary		
Interplay between age,	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12578868/	XML		www.ukbiobank.ac.uk	A prospective, population-based cohort study based on the UK Biobank dataset comprising more than 500,000 participants aged 37-73 years at recruitment (2006-2010). A random subset of 274,259 individuals was characterized using high-throughput 1H-NMR metabolomics platform. Participants were registered with UK National Health Service from 22 assessment centres across England, Wales, and Scotland. Metabolites in UK Biobank were measured in plasma of ~280,000 participants using targeted high-throughput H-NMR metabolomics platform (Nightingale Health Ltd) which includes 249 metabolite measures. Proteomic profiling of 54,219 participants was carried out using Olink Explore platform. Hospital inpatient records and death registration were obtained and updated frequently, with data until September 2020 used to define incident diseases.	metabolomics, proteomics, plasma biomarkers	Secondary		
Interplay between age,	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12578868/	XML	ROSMAP	www.radc.rush.edu	A longitudinal cohort study of aging and dementia in elderly nuns, priests, brothers and lay persons. Brain tissue was obtained from autopsy collections under brain donation programs with standardized protocol. Tissue was from the dorsolateral prefrontal cortex (Brodmann Area 9). Metabolomic data was generated in 514 samples with fresh frozen brain tissue using Metabolon Precision Metabolomics platform with UPLC-MS/MS system. Proteomic data from 618 individuals measured protein abundance from cortical microdissections using tandem mass tag (TMT) isobaric labelling mass spectrometry method. Postmortem neuropathological evaluation and neuropathologic diagnoses were made according to established criteria.	brain tissue, neuropathology, Alzheimer's disease	Secondary		
Predictive gene expression signatures for Alzheimer’s disease using post-mortem brain tissue	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12528040/	XML	ROSMAP	synapse.org	Post-mortem brain tissues from participants of the Religious Orders Study and Memory and Aging Project (ROSMAP) were used to derive gene expression signatures from six brain regions affected at varying stages of AD progression. ROSMAP provided 632 samples from the dorsolateral prefrontal cortex (DLPFC). Bulk RNA-seq gene count data of postmortem brain tissue used in this study are publicly available through the AD Knowledge Portal (Synapse).	post-mortem brain tissue, gene expression, Alzheimer's disease	Secondary	https://www.synapse.org/[#!]*Synapse:ROSMAP	Complex download or application to access
Predictive gene expression signatures for Alzheimer’s disease using post-mortem brain tissue	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12528040/	XML	MSBB	synapse.org	Mount Sinai Brain Bank (MSBB) contributed 160 samples from the parahippocampal gyrus (PHG, BM36), 187 from the inferior frontal gyrus (IFG, BM44), and 191 from the superior temporal gyrus (STG, BM22). Post-mortem brain tissues from MSBB were used to derive gene expression signatures from multiple brain regions affected at varying stages of AD progression.	post-mortem brain tissue, multiple brain regions, Alzheimer's disease	Secondary	https://www.synapse.org/[#!]*Synapse:MSBB	Complex download or application to access
